STRUCTURE,STRUCTURE_ID,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EL,2007,36.9,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EL,2008,36.0,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EL,2009,43.4,b
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EL,2010,45.2,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EL,2011,68.1,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EL,2012,78.9,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EL,2013,80.8,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EL,2014,68.5,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EL,2015,68.4,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EL,2016,58.0,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EL,2017,65.2,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EL,2018,58.7,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EL,2019,49.9,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EL,2020,49.9,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EL,2021,55.6,b
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EL,2022,54.7,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,ES,1999,47.3,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,ES,2000,42.1,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,ES,2001,40.0,b
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,ES,2002,38.5,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,ES,2003,42.1,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,ES,2004,39.9,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,ES,2005,36.4,b
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,ES,2006,36.7,b
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,ES,2007,35.9,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,ES,2008,44.4,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,ES,2009,55.9,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,ES,2010,62.9,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,ES,2011,63.5,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,ES,2012,73.2,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,ES,2013,76.3,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,ES,2014,72.2,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,ES,2015,70.7,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,ES,2016,61.6,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,ES,2017,55.1,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,ES,2018,49.8,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,ES,2019,48.5,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,ES,2020,61.0,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,ES,2021,51.9,bd
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,ES,2022,45.9,d
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,FI,1999,43.2,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,FI,2000,42.9,b
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,FI,2001,38.4,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,FI,2002,41.8,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,FI,2003,42.0,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,FI,2004,42.3,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,FI,2005,30.4,b
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,FI,2006,26.4,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,FI,2007,24.2,b
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,FI,2008,24.8,b
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,FI,2009,28.2,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,FI,2010,29.3,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,FI,2011,28.6,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,FI,2012,28.2,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,FI,2013,26.9,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,FI,2014,28.0,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,FI,2015,28.0,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,FI,2016,29.5,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,FI,2017,28.8,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,FI,2018,24.9,
